iter	Passed	Remaining
174	187221	882613
175	188251	881360
176	189301	880198
177	190329	878939
178	191362	877703
179	192393	876460
180	193572	875888
181	194629	874763
182	195668	873557
183	196880	873122
184	197955	872074
185	199021	870984
186	200052	869745
187	201087	868525
188	202117	867289
189	203128	865967
190	204147	864688
191	205179	863464
192	206199	862190
193	207237	860997
194	208266	859768
195	209422	859060
196	210448	857817
197	211400	856280
198	212365	854798
199	213422	853689
200	214397	852257
201	215394	850916
202	216334	849351
203	217358	848125
204	218301	846585
205	219261	845112
206	220293	843925
207	221321	842722
208	222283	841274
209	223279	839954
210	224300	838736
211	225275	837343
212	226263	836006
213	227213	834532
214	228156	833034
215	229110	831584
216	230016	829966
217	231002	828641
218	231889	826964
219	232816	825441
220	233784	824062
221	234683	822450
222	235658	821107
223	236692	819969
224	237676	818664
225	238681	817431
226	239694	816228
227	240749	815169
228	241837	814221
229	242880	813120
230	243929	812043
231	245115	811417
232	246275	810700
233	247501	810196
234	248694	809580
235	249787	808634
236	250838	807552
237	252020	806889
238	253118	805956
239	254167	804863
240	255237	803840
241	256314	802837
242	257390	801828
243	258575	801159
244	259716	800349
245	260753	799220
246	261767	798019
247	262858	797055
248	263863	795828
249	264879	794638
250	265874	793387
251	266873	792148
252	267871	790907
253	268856	789633
254	269874	788457
255	270850	787159
256	271864	785974
257	272864	784750
258	273866	783533
259	274879	782349
260	275901	781193
261	276897	779963
262	277895	778742
263	278914	777578
264	279987	776569
265	280995	775377
266	281991	774157
267	282994	772956
268	283986	771726
269	284991	770533
270	285985	769311
271	286994	768131
272	288003	766953
273	288995	765732
274	289988	764515
275	290984	763307
276	291985	762112
277	292971	760883
278	293987	759732
279	294986	758535
280	296019	757430
281	297026	756257
282	298020	755056
283	299137	754163
284	300248	753254
285	301256	752088
286	302251	750888
287	303311	749852
288	304297	748635
289	305345	747569
290	306406	746537
291	307417	745382
292	308429	744229
293	309431	743056
294	310443	741906
295	311392	740608
296	312264	739131
297	313143	737672
298	314008	736186
299	314872	734703
300	315768	733297
301	316658	731879
302	317522	730407
303	318390	728946
304	319255	727483
305	320123	726032
306	320996	724595
307	321861	723144
308	322728	721699
309	323594	720258
310	324469	718840
311	325374	717492
312	326353	716309
313	327218	714877
314	328114	713519
315	329075	712301
316	329966	710937
317	331021	709927
318	332122	709014
319	333064	707761
320	334068	706644
321	335038	705454
322	336059	704372
323	337001	703125
324	337885	701762
325	338806	700477
326	339831	699407
327	340857	698341
328	341927	697364
329	343137	696672
330	344144	695567
331	345154	694467
332	346161	693362
333	347168	692258
334	348182	691167
335	349196	690079
336	350212	688993
337	351224	687901
338	352227	686791
339	353236	685695
340	354202	684514
341	355158	683316
342	356116	682124
343	357082	680948
344	358063	679801
345	359026	678623
346	359988	677442
347	360967	676295
348	361964	675183
349	362961	674070
350	363931	672910
351	364931	671805
352	365911	670664
353	366878	669502
354	367845	668338
355	368806	667167
356	369778	666016
357	370824	664998
358	371895	664024
359	372863	662868
360	373829	661709
361	374797	660555
362	375766	659402
363	376732	658246
364	377781	657236
365	378745	656078
366	379704	654913
367	380692	653798
368	381663	652654
369	382632	651509
370	383598	650359
371	384569	649220
372	385534	648070
373	386503	646927
374	387471	645786
375	388436	644640
376	389415	643517
377	390379	642371
378	391355	641245
379	392323	640106
380	393288	638964
381	394254	637825
382	395226	636696
383	396193	635560
384	397162	634428
385	398123	633284
386	399088	632147
387	400124	631123
388	401106	630016
389	402066	628873
390	403035	627745
391	404000	626613
392	404965	625480
393	405945	624372
394	406907	623238
395	407877	622116
396	408848	620996
397	409814	619869
398	410782	618746
399	411747	617621
400	412717	616503
401	413689	615388
402	414652	614261
403	415614	613134
404	416577	612008
405	417543	610888
406	418506	609765
407	419468	608640
408	420489	607601
409	421508	606561
410	422516	605504
411	423609	604568
412	424755	603708
413	425865	602795
414	426887	601757
415	427900	600706
416	428903	599642
417	429932	598614
418	430949	597569
419	431956	596510
420	432988	595488
421	434002	594439
422	435014	593388
423	436005	592309
424	436966	591190
425	438019	590195
426	438988	589087
427	439954	587977
428	440924	586871
429	441977	585876
430	443042	584898
431	444008	583788
432	444983	582692
433	445952	581588
434	446921	580484
435	447889	579379
436	448854	578272
437	449817	577163
438	450782	576056
439	451760	574968
440	452728	573866
441	453699	572769
442	454663	571664
443	455627	570560
444	456595	569462
445	457560	568359
446	458523	567256
447	459488	566155
448	460531	565150
449	461499	564054
450	462463	562954
451	463433	561861
452	464394	560758
453	465370	559674
454	466338	558581
455	467305	557486
456	468267	556388
457	469233	555293
458	470283	554299
459	471245	553201
460	472214	552111
461	473192	551034
462	474188	549976
463	475161	548893
464	476128	547803
465	477117	546740
466	478102	545671
467	479095	544612
468	480120	543590
469	481132	542553
470	482153	541526
471	483171	540496
472	484263	539549
473	485412	538664
474	486402	537602
475	487384	536532
476	488361	535456
477	489328	534371
478	490294	533285
479	491275	532215
480	492251	531140
481	493217	530054
482	494182	528969
483	495234	527977
484	496195	526888
485	497167	525810
486	498151	524746
487	499111	523658
488	500080	522579
489	501050	521501
490	502029	520433
491	502996	519353
492	503957	518269
493	504932	517198
494	505895	516115
495	506858	515034
496	507841	513972
497	508800	512887
498	509765	511808
499	510728	510728
500	511688	509645
501	512659	508574
502	513624	507497
503	514589	506421
504	515552	505343
505	516517	504268
506	517484	503195
507	518456	502126
508	519429	501060
509	520400	499992
510	521368	498921
511	522336	497852
512	523298	496776
513	524265	495706
514	525238	494641
515	526204	493571
516	527171	492502
517	528136	491432
518	529106	490366
519	530075	489300
520	531053	488243
521	532014	487170
522	532978	486100
523	533941	485031
524	534911	483967
525	535875	482899
526	536837	481829
527	537800	480761
528	538769	479698
529	539744	478641
530	540715	477581
531	541686	476521
532	542648	475453
533	543618	474393
534	544597	473341
535	545575	472289
536	546571	471252
537	547630	470269
538	548599	469210
539	549566	468149
540	550537	467091
541	551579	466094
542	552546	465034
543	553513	463974
544	554491	462923
545	555457	461863
546	556420	460801
547	557386	459742
548	558350	458681
549	559314	457620
550	560352	456620
551	561422	455647
552	562393	454593
553	563360	453535
554	564332	452483
555	565301	451427
556	566266	450370
557	567227	449309
558	568186	448247
559	569149	447188
560	570113	446131
561	571075	445072
562	572042	444018
563	573008	442964
564	574052	441969
565	575101	440979
566	576136	439976
567	577106	438926
568	578070	437870
569	579034	436815
570	579998	435760
571	580969	434711
572	581933	433657
573	582900	432605
574	583870	431556
575	584835	430504
576	585807	429456
577	586781	428411
578	587747	427360
579	588716	426312
580	589687	425265
581	590666	424224
582	591648	423185
583	592622	422141
584	593591	421094
585	594589	420068
586	595573	419031
587	596565	418002
588	597555	416970
589	598531	415928
590	599490	414876
591	600469	413836
592	601441	412793
593	602471	411790
594	603443	410747
595	604404	409696
596	605372	408651
597	606396	407644
598	607378	406608
599	608367	405578
600	609380	404563
601	610347	403518
602	611311	402471
603	612276	401426
604	613239	400379
605	614205	399334
606	615179	398295
607	616141	397248
608	617211	396272
609	618184	395232
610	619157	394193
611	620121	393148
612	621091	392108
613	622053	391062
614	623017	390019
615	623986	388978
616	624955	387938
617	625917	386893
618	626883	385852
619	627849	384811
620	628819	383772
621	629788	382732
622	630753	381691
623	631715	380649
624	632695	379617
625	633684	378590
626	634658	377555
627	635641	376526
628	636626	375498
629	637593	374459
630	638578	373431
631	639566	372405
632	640541	371372
633	641513	370337
634	642576	369354
635	643542	368316
636	644505	367276
637	645473	366240
638	646436	365201
639	647403	364164
640	648363	363123
641	649332	362089
642	650298	361051
643	651264	360015
644	652223	358975
645	653181	357935
646	654159	356906
647	655119	355867
648	656085	354832
649	657053	353797
650	658020	352763
651	658987	351729
652	659960	350698
653	660926	349664
654	661899	348634
655	662882	347609
656	663849	346575
657	664818	345544
658	665790	344513
659	666780	343492
660	667741	342457
661	668783	341463
662	669834	340473
663	670826	339454
664	671786	338418
665	672753	337386
666	673719	336354
667	674682	335321
668	675635	334282
669	676600	333250
670	677558	332215
671	678520	331182
672	679481	330149
673	680446	329117
674	681409	328086
675	682376	327056
676	683339	326024
677	684306	324995
678	685265	323961
679	686243	322938
680	687203	321905
681	688163	320874
682	689128	319844
683	690090	318813
684	691042	317778
685	692007	316749
686	692966	315718
687	693924	314686
688	694877	313652
689	695837	312622
690	696798	311592
691	697755	310561
692	698726	309536
693	699686	308507
694	700651	307480
695	701612	306451
696	702574	305423
697	703533	304394
698	704568	303397
699	705527	302369
700	706486	301340
701	707445	300311
702	708404	299283
703	709363	298254
704	710329	297230
705	711294	296204
706	712247	295174
707	713205	294146
708	714165	293119
709	715133	292096
710	716091	291069
711	717063	290048
712	718022	289021
713	718977	287993
714	719935	286967
715	720893	285941
716	721852	284915
717	722824	283894
718	723785	282870
719	724742	281844
720	725714	280824
721	726667	279797
722	727664	278786
723	728626	277763
724	729655	276765
725	730624	275745
726	731593	274724
727	732552	273701
728	733511	272677
729	734468	271652
730	735428	270629
731	736389	269606
732	737345	268582
733	738303	267559
734	739259	266535
735	740231	265517
736	741189	264495
737	742156	263475
738	743115	262453
739	744072	261431
740	745032	260409
741	745988	259386
742	746944	258364
743	747901	257342
744	748863	256322
745	749818	255300
746	750775	254278
747	751731	253257
748	752685	252234
749	753644	251214
750	754598	250193
751	755562	249175
752	756517	248153
753	757470	247132
754	758429	246112
755	759482	245124
756	760444	244105
757	761412	243089
758	762373	242071
759	763332	241052
760	764289	240033
761	765245	239013
762	766199	237993
763	767158	236975
764	768109	235955
765	769069	234937
766	770096	233940
767	771056	232923
768	772010	231904
769	772967	230886
770	773917	229866
771	774876	228849
772	775832	227831
773	776783	226812
774	777738	225795
775	778710	224782
776	779664	223764
777	780623	222748
778	781584	221733
779	782537	220715
780	783489	219698
781	784443	218681
782	785482	217688
783	786442	216672
784	787437	215667
785	788401	214653
786	789360	213638
787	790323	212624
788	791295	211613
789	792253	210598
790	793208	209583
791	794166	208569
792	795127	207555
793	796085	206540
794	797037	205525
795	797994	204511
796	798955	203498
797	799914	202484
798	800872	201471
799	801834	200458
800	802790	199444
801	803745	198431
802	804708	197419
803	805664	196405
804	806623	195393
805	807579	194380
806	808535	193367
807	809491	192354
808	810450	191342
809	811410	190330
810	812365	189318
811	813320	188305
812	814350	187310
813	815326	186303
814	816280	185290
815	817234	184278
816	818189	183266
817	819152	182256
818	820108	181245
819	821069	180234
820	822026	179223
821	822986	178213
822	823941	177202
823	824898	176191
824	825863	175183
825	826818	174172
826	827771	173161
827	828727	172151
828	829681	171140
829	830635	170130
830	831589	169119
831	832542	168109
832	833500	167100
833	834529	166105
834	835593	165117
835	836556	164109
836	837518	163101
837	838475	162092
838	839429	161082
839	840384	160073
840	841347	159065
841	842313	158058
842	843276	157051
843	844230	156042
844	845184	155033
845	846137	154025
846	847110	153019
847	848071	152012
848	849022	151003
849	849980	149996
850	850957	148992
851	851911	147984
852	852865	146976
853	853830	145970
854	854795	144965
855	855820	143969
856	856783	142963
857	857756	141959
858	858713	140952
859	859670	139946
860	860626	138939
861	861587	137933
862	862549	136928
863	863505	135922
864	864465	134916
865	865424	133910
866	866374	132904
867	867341	131899
868	868295	130893
869	869253	129888
870	870213	128883
871	871173	127878
872	872136	126874
873	873095	125869
874	874052	124864
875	875009	123859
876	875961	122854
877	876923	121850
878	877886	120846
879	878841	119841
880	879799	118837
881	880755	117833
882	881717	116830
883	882671	115825
884	883704	114831
885	884678	113829
886	885633	112825
887	886592	111822
888	887556	110819
889	888510	109815
890	889470	108812
891	890423	107809
892	891387	106806
893	892411	105811
894	893376	104809
895	894327	103805
896	895279	102802
897	896231	101799
898	897186	100796
899	898148	99794
900	899102	98791
901	900059	97789
902	901018	96787
903	901974	95784
904	903006	94790
905	903963	93788
906	904914	92786
907	905878	91784
908	906830	90782
909	907820	89784
910	908776	88782
911	909727	87780
912	910680	86778
913	911646	85778
914	912608	84777
915	913571	83777
916	914659	82788
917	915648	81789
918	916613	80789
919	917579	79789
920	918533	78788
921	919509	77789
922	920469	76788
923	921435	75789
924	922391	74788
925	923349	73788
926	924304	72787
927	925266	71787
928	926219	70787
929	927178	69787
930	928129	68787
931	929110	67789
932	930083	66790
933	931042	65790
934	932001	64791
935	932960	63792
936	933914	62792
937	934873	61793
938	935863	60796
939	936835	59798
940	937811	58800
941	938782	57801
942	939749	56803
943	940721	55805
944	941698	54807
945	942668	53809
946	943661	52813
947	944624	51814
948	945597	50817
949	946567	49819
950	947533	48821
951	948500	47823
952	949502	46827
953	950480	45830
954	951453	44832
955	952413	43834
956	953384	42837
957	954360	41840
958	955345	40843
959	956332	39847
960	957311	38850
961	958299	37853
962	959272	36856
963	960249	35859
964	961237	34863
965	962231	33867
966	963217	32870
967	964208	31874
968	965178	30877
969	966156	29881
970	967161	28885
971	968143	27888
972	969132	26892
973	970103	25895
974	971087	24899
975	972066	23903
976	973055	22907
977	974029	21910
978	975087	20916
979	976119	19920
980	977078	18924
981	978037	17927
982	979003	16930
983	979963	15934
984	980937	14938
985	981891	13941
986	982843	12945
987	983795	11948
988	984761	10952
989	985713	9956
990	986754	8961
991	987711	7965
992	988670	6969
993	989625	5973
994	990585	4977
995	991543	3982
996	992501	2986
997	993458	1990
998	994418	995
999	995371	0
