iter	MultiClass
175	0.7766334032
176	0.7760471764
177	0.7757027566
178	0.7747110813
179	0.7743975957
180	0.7739035848
181	0.7736694814
182	0.773177728
183	0.7719245587
184	0.7717056714
185	0.7715489307
186	0.7713075433
187	0.7710495842
188	0.7700778544
189	0.7698034078
190	0.7694390211
191	0.7689289615
192	0.7684377617
193	0.7679511428
194	0.7678343596
195	0.7677005171
196	0.767539245
197	0.7670938532
198	0.7664339528
199	0.7658296975
200	0.7655046448
201	0.7650505044
202	0.7648815386
203	0.7645137058
204	0.7640181891
205	0.7639071245
206	0.763626623
207	0.7634952059
208	0.7632360395
209	0.7625408261
210	0.7622846728
211	0.7620438563
212	0.7619385963
213	0.7616581005
214	0.7614878796
215	0.7611264394
216	0.7602779225
217	0.759583695
218	0.7593567122
219	0.7591394231
220	0.7588978003
221	0.7588039239
222	0.7582915804
223	0.7580947125
224	0.7579211165
225	0.7573229674
226	0.7569615298
227	0.7559885022
228	0.7558147007
229	0.7553855956
230	0.7550670796
231	0.7547863317
232	0.7543970997
233	0.7542291743
234	0.7534022446
235	0.7530190482
236	0.7528540611
237	0.7526763322
238	0.7523885183
239	0.7522486976
240	0.7518205377
241	0.7513285682
242	0.7511089303
243	0.7509999781
244	0.7504288309
245	0.7501797212
246	0.7500646728
247	0.7491604117
248	0.7490191034
249	0.7487365138
250	0.7479184442
251	0.747595617
252	0.7471907623
253	0.7468722278
254	0.7460319116
255	0.7459224715
256	0.7457951731
257	0.7454368006
258	0.7442067117
259	0.74397809
260	0.7437622157
261	0.7435794707
262	0.74299119
263	0.7425801318
264	0.7424025143
265	0.7422500541
266	0.7417565686
267	0.7414800298
268	0.7412402716
269	0.7410219705
270	0.740466896
271	0.7402774612
272	0.7398614673
273	0.7395922954
274	0.7393650521
275	0.739172186
276	0.7383410549
277	0.7382074127
278	0.7376294299
279	0.7374665541
280	0.7370945757
281	0.7370028178
282	0.7369042499
283	0.7361571553
284	0.7360283877
285	0.7353514413
286	0.735197752
287	0.7348342599
288	0.7347719448
289	0.7346792215
290	0.7343727484
291	0.7341468471
292	0.7340470302
293	0.7338790888
294	0.7332376286
295	0.7330664855
296	0.7327359844
297	0.7325145878
298	0.7320506181
299	0.7319624998
300	0.7317847591
301	0.7316685819
302	0.7315734642
303	0.7310906755
304	0.7309876182
305	0.730862173
306	0.7306873315
307	0.7304744975
308	0.7301942991
309	0.7298596308
310	0.7296654605
311	0.729464003
312	0.7291925384
313	0.7289896556
314	0.7286608611
315	0.7279555014
316	0.7276025176
317	0.7274126307
318	0.7273612613
319	0.7270576387
320	0.7269184166
321	0.7267729439
322	0.726435309
323	0.726367952
324	0.7261180849
325	0.7259026185
326	0.7256472414
327	0.7245628536
328	0.7244613036
329	0.723968436
330	0.7238301767
331	0.723759024
332	0.7234874272
333	0.7233976238
334	0.7228100662
335	0.7226811412
336	0.7224655337
337	0.7222632555
338	0.7221453306
339	0.7215075914
340	0.7211672799
341	0.721069099
342	0.7209671062
343	0.7208288349
344	0.7207066269
345	0.7205491499
346	0.7203969104
347	0.720142353
348	0.7190404857
349	0.7189031473
350	0.7186532512
351	0.7185738778
352	0.7183611846
353	0.7177052457
354	0.7175045466
355	0.7174448826
356	0.7172154068
357	0.7168058236
358	0.7166906108
359	0.7164881029
360	0.7163526067
361	0.7162730418
362	0.7158139752
363	0.7156866378
364	0.71550611
365	0.7153980174
366	0.7152749058
367	0.7149132882
368	0.714802105
369	0.7146382733
370	0.7145524094
371	0.7142782267
372	0.7141884416
373	0.7139717211
374	0.7139101124
375	0.7135257084
376	0.7132018599
377	0.7131214845
378	0.7127633614
379	0.7124494245
380	0.7123601393
381	0.7122428579
382	0.7121174316
383	0.7118038252
384	0.7116947086
385	0.7115790982
386	0.7114700397
387	0.7110857689
388	0.7108221702
389	0.71070944
390	0.7102798152
391	0.709987601
392	0.7096937505
393	0.7094006701
394	0.709235571
395	0.7088596904
396	0.7087417113
397	0.7086401433
398	0.7085312821
399	0.7082389205
400	0.7078472781
401	0.707752644
402	0.7075872289
403	0.7074798479
404	0.7073608162
405	0.7072764127
406	0.7069905105
407	0.7069030797
408	0.7066984492
409	0.7062937708
410	0.7062202595
411	0.7059325801
412	0.7055391566
413	0.7049826917
414	0.7048693347
415	0.7046431361
416	0.7045945118
417	0.7042719677
418	0.70403526
419	0.7038223659
420	0.7036966356
421	0.7034995916
422	0.7032884657
423	0.7031440122
424	0.7030686052
425	0.7025109486
426	0.7024637869
427	0.702275961
428	0.7022159192
429	0.7014755261
430	0.7013607333
431	0.7012766583
432	0.7011836226
433	0.7008901355
434	0.7006133652
435	0.7002576751
436	0.700055401
437	0.6999582499
438	0.6997220561
439	0.6994573985
440	0.6993194133
441	0.6991755809
442	0.6991338166
443	0.6990703345
444	0.6988041574
445	0.6986912445
446	0.6985383599
447	0.6983776272
448	0.697649615
449	0.697567856
450	0.6974703721
451	0.6970042124
452	0.6969408832
453	0.6965529471
454	0.6963837303
455	0.6962897326
456	0.6958995528
457	0.6958101986
458	0.6956566437
459	0.695540265
460	0.6954282916
461	0.6951367092
462	0.6948155986
463	0.6947339083
464	0.6946640928
465	0.6944807292
466	0.6944466466
467	0.6940258446
468	0.6939667448
469	0.6936818166
470	0.693579407
471	0.6934990117
472	0.6931882413
473	0.6930906562
474	0.6927473788
475	0.6924270832
476	0.6922602924
477	0.6920762256
478	0.6919193383
479	0.6917289294
480	0.6915182471
481	0.691398292
482	0.6912469897
483	0.6902884055
484	0.6901720266
485	0.6900958161
486	0.6897346024
487	0.6896909458
488	0.6892857021
489	0.6891777939
490	0.6890429897
491	0.6889526499
492	0.6888664189
493	0.6887566754
494	0.6886908455
495	0.6885381122
496	0.6883338612
497	0.6880933113
498	0.6877585546
499	0.6876259149
500	0.6875597617
501	0.6873707998
502	0.6872967446
503	0.6870082951
504	0.6869155864
505	0.6867329037
506	0.6866560524
507	0.6864165532
508	0.6861151407
509	0.6859727664
510	0.6858416528
511	0.6857006934
512	0.6852800616
513	0.6852111814
514	0.6850318124
515	0.6849970139
516	0.6849618568
517	0.6846079182
518	0.6843678899
519	0.6840180215
520	0.6838478116
521	0.6837980175
522	0.683733655
523	0.6835911849
524	0.6834645555
525	0.6833847345
526	0.6832431912
527	0.6831910236
528	0.6830537414
529	0.6828213537
530	0.6824223484
531	0.6823367673
532	0.6822772382
533	0.6818692955
534	0.6818172809
535	0.6816271438
536	0.6815291714
537	0.6810588972
538	0.6809876508
539	0.6808558399
540	0.6807215628
541	0.680423015
542	0.6802456693
543	0.680104188
544	0.6800226423
545	0.6799524602
546	0.6796322566
547	0.6795170814
548	0.6794134696
549	0.6793671057
550	0.6789642232
551	0.6788169239
552	0.6787601762
553	0.6786856247
554	0.6784430266
555	0.6781620515
556	0.6780780221
557	0.6779762197
558	0.6779288821
559	0.6777762996
560	0.6777238592
561	0.6776425522
562	0.6774768755
563	0.6773853807
564	0.6771309365
565	0.6770196014
566	0.6768396761
567	0.6767536734
568	0.6765243965
569	0.6763071523
570	0.6761571449
571	0.6761260505
572	0.6760536171
573	0.6756025672
574	0.6754825008
575	0.6753950131
576	0.6753502622
577	0.6751212507
578	0.6750705491
579	0.674885316
580	0.6748279076
581	0.6746468825
582	0.6745053972
583	0.6744560249
584	0.6744060007
585	0.6742262041
586	0.6740048768
587	0.6738028824
588	0.6736609102
589	0.6736142739
590	0.6735025351
591	0.6733711192
592	0.6727421664
593	0.6724735136
594	0.6721658222
595	0.6720954414
596	0.6720670374
597	0.672024888
598	0.6719767925
599	0.671886188
600	0.6717897187
601	0.6717039827
602	0.6715835869
603	0.6715006897
604	0.6714324062
605	0.6713890325
606	0.6707856433
607	0.6707267379
608	0.6706710427
609	0.6704599831
610	0.6703123407
611	0.6702319291
612	0.6701924354
613	0.6700779407
614	0.6699698051
615	0.6699084631
616	0.669826534
617	0.6697651045
618	0.6696798727
619	0.6695748378
620	0.6695478562
621	0.6694853577
622	0.669384668
623	0.6693130835
624	0.6690423481
625	0.6689736211
626	0.6689104618
627	0.6688567435
628	0.6687565623
629	0.6686852686
630	0.6686195472
631	0.6683592644
632	0.6681685215
633	0.6681084698
634	0.6677913864
635	0.6676513929
636	0.6675360047
637	0.6674701035
638	0.6674221448
639	0.6672432375
640	0.6671944822
641	0.6670635718
642	0.6668361337
643	0.6667038738
644	0.6666078857
645	0.6665156487
646	0.6664736339
647	0.6664164298
648	0.6660982464
649	0.6660473042
650	0.6659642119
651	0.6659221813
652	0.6655709339
653	0.6654907718
654	0.6654247926
655	0.6652302046
656	0.6651659932
657	0.665093673
658	0.6649296644
659	0.6648784025
660	0.6647627289
661	0.6646474721
662	0.6645375524
663	0.6644428548
664	0.6643920019
665	0.6643151488
666	0.6642053569
667	0.664060439
668	0.6639644682
669	0.6638418544
670	0.6636449162
671	0.6634115895
672	0.6633588526
673	0.6633293876
674	0.6632725449
675	0.6630539575
676	0.6630004562
677	0.662778107
678	0.6627159814
679	0.6624707244
680	0.662412212
681	0.662358907
682	0.6623208355
683	0.6622374134
684	0.6621838594
685	0.6621201899
686	0.6620182414
687	0.6619799935
688	0.661909787
689	0.6618404967
690	0.6617220991
691	0.6616985681
692	0.6616382167
693	0.6616141226
694	0.6615754472
695	0.6615081255
696	0.6614405303
697	0.661372138
698	0.6612653822
699	0.6610251409
700	0.6608809552
701	0.660766412
702	0.6607226404
703	0.660644077
704	0.660256923
705	0.6600668763
706	0.6600148649
707	0.6599429276
708	0.6599093051
709	0.6596902407
710	0.6596247158
711	0.6595348798
712	0.6594912704
713	0.6594611445
714	0.6591614669
715	0.6590822032
716	0.6590449646
717	0.6587802997
718	0.6587324992
719	0.6586965926
720	0.6586057183
721	0.6585634685
722	0.6584641399
723	0.6583727809
724	0.6580969017
725	0.6580403588
726	0.657987573
727	0.6579276223
728	0.657872825
729	0.6578060099
730	0.6577741489
731	0.6577066266
732	0.6576634735
733	0.6575420555
734	0.6574887505
735	0.6574116712
736	0.6570821818
737	0.6570509749
738	0.6568128028
739	0.6567563093
740	0.6566774569
741	0.6565877517
742	0.6565064282
743	0.6562701456
744	0.6562352852
745	0.6559353145
746	0.6557562853
747	0.6556908357
748	0.6555995989
749	0.6552508616
750	0.6550538619
751	0.6547952821
752	0.6547469965
753	0.654666346
754	0.6545728549
755	0.6544802133
756	0.6544144236
757	0.6542658539
758	0.6541936415
759	0.6539534062
760	0.6538814315
761	0.6537544675
762	0.6536986737
763	0.653613226
764	0.6535417653
765	0.653491631
766	0.6533590962
767	0.6533266367
768	0.6532568636
769	0.6532062472
770	0.6531338772
771	0.6528702816
772	0.6528207313
773	0.6527624873
774	0.6526517523
775	0.6526139486
776	0.6525015924
777	0.6523297577
778	0.6522275839
779	0.652163589
780	0.6521235368
781	0.6520005896
782	0.6513831197
783	0.6513316073
784	0.6512826447
785	0.6511213727
786	0.6510685761
787	0.651007492
788	0.6509589943
789	0.6509215696
790	0.6508671386
791	0.6507603498
792	0.6507094984
793	0.650648335
794	0.6506060694
795	0.6505598334
796	0.6504108122
797	0.6501944729
798	0.6501461558
799	0.6500031041
800	0.6498879278
801	0.6497024596
802	0.6495977323
803	0.6494872506
804	0.6494059663
805	0.6493146971
806	0.6492524455
807	0.6489663788
808	0.6488674247
809	0.6488260192
810	0.6486929112
811	0.6486098824
812	0.6480030336
813	0.6479616044
814	0.6479260201
815	0.6478981748
816	0.6477779216
817	0.6476195413
818	0.6475752996
819	0.6474550066
820	0.6472492402
821	0.6470563428
822	0.6470082784
823	0.6466127606
824	0.6464254003
825	0.6463255728
826	0.6462505903
827	0.6462019132
828	0.6461483155
829	0.6460615605
830	0.6459915909
831	0.6459376759
832	0.6458485866
833	0.6456138085
834	0.6454862676
835	0.6454395666
836	0.6450865034
837	0.6450126029
838	0.6449202063
839	0.6448286708
840	0.6447572032
841	0.6447061317
842	0.6446610985
843	0.6446180619
844	0.6445532593
845	0.6444468576
846	0.6444195077
847	0.6443752939
848	0.6443309122
849	0.6442570111
850	0.6442153675
851	0.6441905193
852	0.6441689845
853	0.6441043664
854	0.6438794271
855	0.6435971602
856	0.643562558
857	0.6435209798
858	0.6430273371
859	0.642996497
860	0.6429520272
861	0.6426240385
862	0.6424967017
863	0.6424502844
864	0.6423740534
865	0.6422433929
866	0.642202812
867	0.6419659762
868	0.6418542092
869	0.6418010192
870	0.6417150818
871	0.6415771247
872	0.6415191941
873	0.6413671027
874	0.641316167
875	0.6412228232
876	0.641184914
877	0.640870218
878	0.6408090529
879	0.6407348363
880	0.6406241024
881	0.6405423921
882	0.6404846905
883	0.6404435496
884	0.6402684016
885	0.640076702
886	0.6400303013
887	0.6399958374
888	0.6399380537
889	0.6398989959
890	0.6398306686
891	0.6397596276
892	0.6397212343
893	0.6394099987
894	0.6393311286
895	0.6392768054
896	0.6392039439
897	0.6391719232
898	0.6391169662
899	0.6389770179
900	0.6388107093
901	0.6385474024
902	0.6385019212
903	0.6383759653
904	0.6382253113
905	0.6381636349
906	0.6381127779
907	0.63807347
908	0.6379432255
909	0.6378650025
910	0.6377986414
911	0.6377179907
912	0.6376426872
913	0.6375897617
914	0.637331151
915	0.6370615344
916	0.636871257
917	0.6368223615
918	0.6364863023
919	0.6364467904
920	0.6363696525
921	0.6361006007
922	0.6360048419
923	0.6359553938
924	0.6358794159
925	0.6358401314
926	0.6358035363
927	0.6356643846
928	0.6356177599
929	0.6355701002
930	0.6355089453
931	0.6353109654
932	0.6352083015
933	0.6351398665
934	0.634959658
935	0.634924051
936	0.6348289843
937	0.6347739222
938	0.6347084581
939	0.6344445485
940	0.6344008494
941	0.6343625471
942	0.6343192397
943	0.6342760484
944	0.6341996231
945	0.6341528657
946	0.6338703105
947	0.6338184087
948	0.6337814721
949	0.6336974794
950	0.6336612615
951	0.6336059727
952	0.6332325864
953	0.6331825774
954	0.633112443
955	0.6330797128
956	0.6330301317
957	0.6328394858
958	0.6328016077
959	0.6327293245
960	0.632497931
961	0.632438116
962	0.6323897366
963	0.6322417065
964	0.6321808817
965	0.6320765143
966	0.6319885481
967	0.6317872814
968	0.6317445913
969	0.6316556568
970	0.6315073799
971	0.6313668893
972	0.6312096459
973	0.6311435738
974	0.6309857949
975	0.6309322368
976	0.6308373591
977	0.6305623201
978	0.6304955149
979	0.630293202
980	0.6301866314
981	0.6300851309
982	0.629887374
983	0.6295476207
984	0.6294394034
985	0.6293940064
986	0.629357037
987	0.6293136366
988	0.6292682146
989	0.6292255937
990	0.6290960534
991	0.6290384755
992	0.6289611107
993	0.6288873783
994	0.6288335877
995	0.6287026634
996	0.6286108746
997	0.6285637847
998	0.6284800799
999	0.628429275
